n,algo,cost,std,time,gap
20,NN,4546.8,472.06245349529763,0.00011053085327148438,22.094522019334054
20,2-Opt,3794.6,157.02432932510808,0.0005021572113037109,1.8958109559613294
20,GRASP,3724.0,221.96666416378832,0.021344566345214845,0.0
50,NN,7118.6,461.5524238913712,0.0005091190338134766,24.874574606181802
50,2-Opt,6073.8,313.9754130501304,0.0014616489410400391,6.5466792969161105
50,GRASP,5700.6,184.78376552067556,0.06524348258972168,0.0
100,NN,9773.6,839.0407856594338,0.0002010822296142578,19.36492427943332
100,2-Opt,8342.8,364.2429958146073,0.004969930648803711,1.8905715681485011
100,GRASP,8188.0,268.6276233003598,0.23970379829406738,0.0
200,NN,13260.8,517.7587855362766,0.0016932010650634766,15.711767682937458
200,2-Opt,11541.8,214.80819351225875,0.0211428165435791,0.7120294584736614
200,GRASP,11460.2,142.75489483726994,0.9359066486358643,0.0
